Group D,Australia,FW,Jamie Maclaren,Melbourne City,Australia,6,8,0,540,0,1.333,0
Group G,Cameroon,FW,Jean-Pierre Nsame,Young Boys,Switzerland,24,16,4,1370,0,1.314,0
Group C,Poland,FW,Robert Lewandowski,Barcelona,Spain,19,18,4,1510,0,1.311,0
Group D,France,FW,Kylian Mbappé,Paris Saint-Germain,France,20,19,5,1675,0,1.29,0
Group A,Ecuador,FW,Enner Valencia,Fenerbahçe,Turkey,22,15,4,1328,0,1.288,0
Group E,Spain,FW,Marco Asensio,Real Madrid,Spain,15,3,3,426,0,1.268,0
Group H,Portugal,FW,Gonçalo Ramos,Benfica,Portugal,21,14,6,1445,0,1.246,0
Group E,Germany,MF,Leroy Sané,Bayern Munich,Germany,19,10,6,1169,0,1.232,0
Group C,Mexico,FW,Henry Martín,América,Mexico,21,13,6,1429,0,1.197,0
Group E,Costa Rica,DF,Rónald Matarrita,FC Cincinnati,United States,10,1,3,302,0,1.192,0
Group C,Poland,MF,Szymon Żurkowski,Fiorentina,Italy,4,0,1,77,0,1.169,0
Group B,Iran,FW,Mehdi Taremi,Porto,Portugal,19,13,8,1626,0,1.162,0
Group C,Argentina,FW,Ángel Di María,Juventus,Italy,10,1,4,391,0,1.151,0
Group H,Ghana,MF,Mohammed Kudus,Ajax,Netherlands,21,10,2,979,0,1.103,0
Group C,Saudi Arabia,FW,Firas Al-Buraikan,Al-Fateh,Saudi Arabia,8,4,1,413,0,1.09,0
Group F,Belgium,FW,Romelu Lukaku,Internazionale,Italy,5,2,1,256,0,1.055,0
Group H,Uruguay,FW,Darwin Núñez,Liverpool,England,18,9,2,941,0,1.052,0
Group D,France,FW,Olivier Giroud,Milan,Italy,19,9,5,1199,0,1.051,0
Group D,Tunisia,FW,Youssef Msakni,Al-Arabi,Qatar,6,4,2,518,0,1.042,0
Group D,Australia,FW,Jason Cummings,Central Coast Mariners,Australia,5,2,3,435,0,1.034,0
Group H,Uruguay,FW,Edinson Cavani,Valencia,Spain,7,4,1,435,0,1.034,0
Group F,Croatia,FW,Mislav Oršić,Dinamo Zagreb,Croatia,27,13,8,1863,0,1.014,0
Group D,France,FW,Randal Kolo Muani,Eintracht Frankfurt,Germany,23,8,11,1699,0,1.006,0
Group D,France,FW,Marcus Thuram,Borussia Mönchengladbach,Germany,17,13,4,1530,0,1,0
Group C,Argentina,FW,Paulo Dybala,Roma,Italy,12,7,2,816,0,0.993,0
Group E,Germany,MF,Jonas Hofmann,Borussia Mönchengladbach,Germany,15,7,7,1276,0,0.987,0
Group A,Qatar,FW,Akram Afif,Al-Sadd,Qatar,177,85,67,13916,0,0.983,0
Group F,Belgium,MF,Kevin De Bruyne,Manchester City,England,19,3,13,1475,0,0.976,0
Group H,Portugal,FW,Rafael Leão,Milan,Italy,20,7,9,1481,0,0.972,0
Group E,Spain,FW,Dani Olmo,RB Leipzig,Germany,14,3,4,649,0,0.971,0
Group F,Croatia,FW,Bruno Petković,Dinamo Zagreb,Croatia,27,12,7,1762,0,0.97,0
Group F,Croatia,FW,Marko Livaja,Hajduk Split,Croatia,21,11,9,1865,0,0.965,0
Group A,Netherlands,FW,Luuk de Jong,PSV Eindhoven,Netherlands,14,5,5,937,0,0.961,0
Group C,Poland,MF,Piotr Zieliński,Napoli,Italy,21,6,7,1219,0,0.96,0
Group A,Ecuador,MF,Jeremy Sarmiento,Brighton & Hove Albion,England,4,0,1,98,0,0.918,0
Group D,Tunisia,MF,Mohamed Ali Ben Romdhane,Espérance de Tunis,Tunisia,4,3,0,296,0,0.912,0
Group C,Argentina,FW,Julián Álvarez,Manchester City,England,20,7,2,890,0,0.91,0
Group E,Germany,FW,Youssoufa Moukoko,Borussia Dortmund,Germany,22,6,6,1187,0,0.91,0
Group B,England,FW,Callum Wilson,Newcastle United,England,11,6,2,793,0,0.908,0
Group C,Saudi Arabia,MF,Sami Al-Najei,Al-Nassr,Saudi Arabia,8,3,3,615,0,0.878,0
Group B,England,MF,James Maddison,Leicester City,England,14,7,4,1130,0,0.876,0
Group H,Portugal,FW,André Silva,RB Leipzig,Germany,24,7,7,1438,0,0.876,0
